run,model,dataset,missing_rate,seed,MAE,MSE,RMSE,MRE,metrics_file
tefn/citylearn_zone5/mr0.1/seed456,tefn,citylearn_zone5,0.1,456,0.46013129505306083,0.4548384405559908,0.6744171117016463,0.5655303237913715,output/imputation/cuda/paper_campaign/tefn/citylearn_zone5/mr0.1/seed456/metrics/tefn_metrics.json
tefn/citylearn_zone5/mr0.3/seed123,tefn,citylearn_zone5,0.3,123,0.5248819041472506,0.5532271122205574,0.743792385159029,0.6438465298262036,output/imputation/cuda/paper_campaign/tefn/citylearn_zone5/mr0.3/seed123/metrics/tefn_metrics.json
tefn/citylearn_zone5/mr0.3/seed42,tefn,citylearn_zone5,0.3,42,0.5239541977375365,0.5521812205520938,0.7430889721642314,0.6436851410944524,output/imputation/cuda/paper_campaign/tefn/citylearn_zone5/mr0.3/seed42/metrics/tefn_metrics.json
tefn/citylearn_zone5/mr0.3/seed456,tefn,citylearn_zone5,0.3,456,0.5256369551784293,0.5534561269347061,0.7439463199281963,0.6457820410114881,output/imputation/cuda/paper_campaign/tefn/citylearn_zone5/mr0.3/seed456/metrics/tefn_metrics.json
tefn/citylearn_zone5/mr0.5/seed123,tefn,citylearn_zone5,0.5,123,0.5909758361743532,0.6626160734789951,0.8140123300534182,0.7253762972938929,output/imputation/cuda/paper_campaign/tefn/citylearn_zone5/mr0.5/seed123/metrics/tefn_metrics.json
tefn/citylearn_zone5/mr0.5/seed42,tefn,citylearn_zone5,0.5,42,0.5914626074543536,0.6642743615515733,0.8150302825978758,0.7262651420096901,output/imputation/cuda/paper_campaign/tefn/citylearn_zone5/mr0.5/seed42/metrics/tefn_metrics.json
tefn/citylearn_zone5/mr0.5/seed456,tefn,citylearn_zone5,0.5,456,0.5931300072969931,0.6647210435997043,0.8153042644312026,0.7282672158319515,output/imputation/cuda/paper_campaign/tefn/citylearn_zone5/mr0.5/seed456/metrics/tefn_metrics.json
tefn/eld/mr0.1/seed123,tefn,eld,0.1,123,1.0508123312268782,2.550656682976198,1.5970775444467928,0.5621746053938885,output/imputation/cuda/paper_campaign/tefn/eld/mr0.1/seed123/metrics/tefn_metrics.json
tefn/eld/mr0.1/seed42,tefn,eld,0.1,42,1.1045913100079257,2.720367788123227,1.6493537486310288,0.591419477116447,output/imputation/cuda/paper_campaign/tefn/eld/mr0.1/seed42/metrics/tefn_metrics.json
tefn/eld/mr0.1/seed456,tefn,eld,0.1,456,1.0167343727126337,2.5046708601331606,1.582615196481179,0.5443381822429756,output/imputation/cuda/paper_campaign/tefn/eld/mr0.1/seed456/metrics/tefn_metrics.json
tefn/eld/mr0.3/seed123,tefn,eld,0.3,123,1.0398254579701867,2.646537953820857,1.6268183530501668,0.5567928228767538,output/imputation/cuda/paper_campaign/tefn/eld/mr0.3/seed123/metrics/tefn_metrics.json
tefn/eld/mr0.3/seed42,tefn,eld,0.3,42,1.1004291430544804,2.84060422897267,1.6854092170664874,0.5891145644110929,output/imputation/cuda/paper_campaign/tefn/eld/mr0.3/seed42/metrics/tefn_metrics.json
tefn/eld/mr0.3/seed456,tefn,eld,0.3,456,1.0210471546594115,2.6676035339813144,1.6332799925246482,0.5466668491558332,output/imputation/cuda/paper_campaign/tefn/eld/mr0.3/seed456/metrics/tefn_metrics.json
